clli,num_ixs,latitude,zipcode,sources,longitude,pdb_org_id,country,fac_id,pdb_fac_id,alternatenames,address,geo_id,name,state,city
ASBNVA,6,39.016363,20147-6205,['pdb'],-77.459023,2,US,1,1,[],21715 Filigree CtBuilding F,4744870,"Equinix DC1-DC15, DC21 - Ashburn",VA,Ashburn
SNFCCA,2,37.723407,94110,['pdb'],-122.397923,8592,US,2,2,[],200 Paul Ave,5391959,Digital Realty SFO (200 Paul),CA,San Francisco
DLLSTX,4,32.800955,75207-3137,['pdb'],-96.81955,2,US,3,4,[],1950 N Stemmons FwySte 1034,4684888,Equinix DA1 - Dallas,TX,Dallas
PLALCA,4,37.445896,94301-1704,['pdb'],-122.160775,2,US,4,5,[],529 Bryant St,5380748,"Equinix SV8 - Silicon Valley, Palo Alto",CA,Palo Alto
SNJSCA,7,37.241767,95119-1242,['pdb'],-121.782967,2,US,5,6,[],11 Great Oaks Blvd,5392171,"Equinix SV1/SV5/SV10 - Silicon Valley, San Jose",CA,San Jose
CHCGIL,6,41.85365,60616-1568,['pdb'],-87.618342,2,US,6,7,[],350 E Cermak Rd5th Floor / 6th Floor / 8th Floor,4887398,Equinix CH1/CH2/CH4 - Chicago,IL,Chicago
LSANCA,5,34.047501,90017-3859,['pdb'],-118.2573,2,US,7,8,[],600 W 7th St6th Floor,5368361,Equinix LA1 - Los Angeles,CA,Los Angeles
NWRKNJ,2,40.736844,07102-2834,['pdb'],-74.173402,2,US,8,9,[],165 Halsey St8th Floor,5101798,"Equinix NY1 - New York, Newark",NJ,Newark
NYCMNY,7,40.717723,10013-3315,['pdb'],-74.008299,8592,US,9,10,[],60 Hudson St,5128581,Digital Realty NYC (60 Hudson),NY,New York
ATLNGA,2,33.755456,30303-2885,['pdb'],-84.39153,2,US,10,11,[],56 Marietta St NW5th Floor,4180439,Equinix AT2/AT3 - Atlanta,GA,Atlanta
TOROON,5,43.644672,M5J 2N1,['pdb'],-79.384128,2,CA,11,12,[],151 Front St,6167865,Equinix TR1 - Toronto,ON,Toronto
MIAUFL,7,25.782648,33132-1709,['pdb'],-80.193157,2,US,13,15,[],50 NE 9th St,4164138,"Equinix MI1 - Miami, NOTA",FL,Miami
NYCMNY,4,40.741469,10011,['pdb'],-74.003387,8592,US,14,16,[],111 8th Ave,5128581,Digital Realty NYC (111 8th Ave),New York,New York
AMSTNL,20,52.356394,1098 XG,['pdb'],4.950837,31,NL,15,18,[],Science Park 105,2759794,NIKHEF Amsterdam,NH,Amsterdam
LSANCARC,5,34.047942,90017,['pdb'],-118.255564,34,US,16,19,[],624 S. Grand Ave.Suite 110,5368361,CoreSite - Los Angeles (LA1) One Wilshire,CA,Los Angeles
SNJSCAJN,2,37.334147,95113,['pdb'],-121.891649,34,US,17,20,[],55 S. Market StreetSuite 440,5392171,CoreSite - San Jose (SV1),CA,San Jose
LSANCA,1,34.048428,90014,['pdb'],-118.255186,41,US,1278,22,[],530 West 6th Street,5368361,JMA NAC Los Angeles,CA,Los Angeles
SNFCCA,2,37.788669,94105,['pdb'],-122.390509,8592,US,18,23,[],365 Main Street,5391959,Digital Realty SFO (365 Main),CA,San Francisco
LONDEN,8,,E14 2AA,['pdb'],,7,GB,19,34,[],14 Coriander Avenue,2643743,Telehouse - London (Docklands North),,London
,,51.482248,UB7 0NA,['pdb'],-0.460224,8592,GB,1438,35,[],Unit 1Airport Gate Bath Road,2634451,Digital Realty London LHR17,Middlesex,West Drayton
SCCSNJ,5,40.778534,07094,['pdb'],-74.072237,2,US,20,36,[],800 Secaucus Road,5104504,"Equinix NY2/NY4/NY5/NY6 - New York, Secaucus",NJ,Secaucus
NYCMNY,2,40.741469,10011,['pdb'],-74.003387,2,US,21,38,[],111 8th Ave,5128581,"Equinix NY9 - New York, 111 8th Avenue",New York,New York
LONDEN,5,,E14 2AA,['pdb'],,7,GB,22,39,[],14 Coriander Avenue,2643743,Telehouse - London (Docklands East),,London
LONDEN,6,51.499819,E14 9SD,['pdb'],-0.010775,8592,GB,23,40,[],Sovereign House227 Marsh Wall,2643743,Digital Realty London LHR20,,London
LONDEN,4,51.496902,E14 9TR,['pdb'],-0.018933,8592,GB,24,43,[],Cloud HouseMillharbour 47,2643743,Digital Realty London LHR19,,London
LONDEN,9,51.498842,E14 9GE,['pdb'],-0.014327,2,GB,25,45,[],6-9 Harbour Exchange Square,2643743,"Equinix LD8 - London, Docklands",,London
LONDEN,7,51.520397,E1 6QR,['pdb'],-0.073777,8592,GB,26,46,[],11 Hanbury Street,2643743,Digital Realty London LON1-3,,London
,1,51.510985,E14 2AX,['pdb'],-0.003494,77,GB,27,47,[],3 Nutmeg Lane,2643743,Global Switch London East,,London
LONDEN,1,51.511364,E14 944,['pdb'],-0.010634,77,GB,28,48,[],240 East India Dock Road,2643743,Global Switch London North,,London
,,51.519453,EC2A 1 RS,['pdb'],-0.087837,2,GB,30,50,[],101 Finsbury Pavement,2643743,Equinix LD1 - No longer operational,,London
PARSFR,9,48.856654,75011,['pdb'],2.38532,7,FR,31,53,[],137 Boulevard Voltaire65 Rue Léon Frot,2988507,Telehouse - Paris 2 (Voltaire - Léon Frot),,Paris
PARSFR,2,48.869869,75002,['pdb'],2.344236,7,FR,32,54,[],"38, rue des Jeûneurs",2988507,Telehouse - Paris 1 (Jeûneurs),,Paris
,1,48.903746,92400,['pdb'],2.257694,11780,FR,33,55,[],124 Boulevard de Verdun,2988507,SFR Netcenter Paris (Courbevoie),,Paris
,2,48.902082,93534,['pdb'],2.369496,8592,FR,34,56,[],45 Avenue Victor HugoAubervilliers,2988507,Digital Realty Paris PAR1,,Paris
,2,45.722882,69200,['pdb'],4.862905,11780,FR,35,57,[],8 Rue Georges Marrane,2970072,SFR Netcenter Lyon-Venissieux,Auvergne-Rhône-Alpes,Vénissieux
FRNKGE,19,50.11967,60314,['pdb'],8.73463,8592,DE,36,58,[],Hanauer Landstrasse 298,2925533,Digital Realty Frankfurt FRA1-16,Hessen,Frankfurt
FRNKGE,3,50.099697,60326,['pdb'],8.631763,98,DE,37,59,[],Rebstoeckerstrasse 25-31,2925533,ITENOS Frankfurt (FRA1),Hessen,Frankfurt
FRNKGE,24,50.09885,60326,['pdb'],8.632004,2,DE,38,60,[],Kleyerstrasse 90,2925533,"Equinix FR5 - Frankfurt, KleyerStrasse",,Frankfurt
,7,52.356353,1098 XG,['pdb'],4.951609,8592,NL,39,61,[],Science Park 120,2759794,Digital Realty Amsterdam AMS17,,Amsterdam
AMSTNL,11,52.303078,1101 AE,['pdb'],4.938009,2,NL,40,62,[],Kuiperbergweg 13,2759794,"Equinix AM7 - Amsterdam, Kuiperberweg",,Amsterdam
AMSTNL,5,52.343984,1066 VH,['pdb'],4.828711,77,NL,41,63,[],Johan Huizingalaan 759,2759794,Global Switch Amsterdam,,Amsterdam
AMSTNL,2,52.28415,1119 NJ,['pdb'],4.770855,8592,NL,42,64,[],Cessnalaan 1,2759794,"Digital Realty Amsterdam AMS3, AMS5-8, AMS10",,Amsterdam
