zipcode,longitude,pdb_org_id,address,country,city,pdb_fac_id,name,num_ixs,state,fac_id,sources,clli,geo_id,latitude,alternatenames
20147-6205,-77.459023,2,21715 Filigree CtBuilding F,US,Ashburn,1,"Equinix DC1-DC15, DC21 - Ashburn",6,VA,1,['pdb'],ASBNVA,4744870,39.016363,[]
94110,-122.397923,8592,200 Paul Ave,US,San Francisco,2,Digital Realty SFO (200 Paul),2,CA,2,['pdb'],SNFCCA,5391959,37.723407,[]
75207-3137,-96.81955,2,1950 N Stemmons FwySte 1034,US,Dallas,4,Equinix DA1 - Dallas,4,TX,3,['pdb'],DLLSTX,4684888,32.800955,[]
94301-1704,-122.160775,2,529 Bryant St,US,Palo Alto,5,"Equinix SV8 - Silicon Valley, Palo Alto",4,CA,4,['pdb'],PLALCA,5380748,37.445896,[]
95119-1242,-121.782967,2,11 Great Oaks Blvd,US,San Jose,6,"Equinix SV1/SV5/SV10 - Silicon Valley, San Jose",7,CA,5,['pdb'],SNJSCA,5392171,37.241767,[]
60616-1568,-87.618342,2,350 E Cermak Rd5th Floor / 6th Floor / 8th Floor,US,Chicago,7,Equinix CH1/CH2/CH4 - Chicago,6,IL,6,['pdb'],CHCGIL,4887398,41.85365,[]
90017-3859,-118.2573,2,600 W 7th St6th Floor,US,Los Angeles,8,Equinix LA1 - Los Angeles,6,CA,7,['pdb'],LSANCA,5368361,34.047501,[]
07102-2834,-74.173402,2,165 Halsey St8th Floor,US,Newark,9,"Equinix NY1 - New York, Newark",2,NJ,8,['pdb'],NWRKNJ,5101798,40.736844,[]
10013-3315,-74.008299,8592,60 Hudson St,US,New York,10,Digital Realty NYC (60 Hudson),7,NY,9,['pdb'],NYCMNY,5128581,40.717723,[]
30303-2885,-84.39153,2,56 Marietta St NW5th Floor,US,Atlanta,11,Equinix AT2/AT3 - Atlanta,2,GA,10,['pdb'],ATLNGA,4180439,33.755456,[]
M5J 2N1,-79.384128,2,151 Front St,CA,Toronto,12,Equinix TR1 - Toronto,5,ON,11,['pdb'],TOROON,6167865,43.644672,[]
