ix_id,fac_id
1384,231
1384,616
1384,240
1384,15
1384,1402
1384,239
1384,173
1384,1423
1384,878
1384,1436
1384,1415
1384,311
1384,1435
1384,38
1384,437
1384,1434
1584,240
1584,1730
1584,15
1584,221
1584,25
1584,223
1584,173
1584,698
1584,728
1584,38
1584,437
1179,584
918,411
1705,1793
2,179
1585,907
1064,1150
858,1103
1744,880
4,17
4,253
4,18
5,326
6,224
6,593
6,208
7,282
7,496
1586,1650
1586,1655
1457,1499
1457,1377
976,958
8,550
8,680
8,708
8,1305
1458,150
857,700
857,607
857,524
1460,1560
1460,1576
1460,1972
1460,1563
1460,1566
1460,1553
1460,1569
1460,1556
1460,1572
1460,1559
1460,1575
1460,1562
1460,1573
1460,1565
1460,1568
1460,1555
1460,1571
1460,1558
1460,1574
1460,1577
1460,1561
1460,660
1460,1564
1460,1567
1460,1554
1460,1570
1460,1557
1101,253
17,263
1783,848
11,913
1292,1255
1292,1243
1292,1724
1292,1242
21,782
22,332
22,333
23,40
23,177
23,191
23,234
23,42
23,457
23,759
23,41
23,176
23,39
23,410
23,62
23,1496
23,437
23,353
23,15
25,1612
162,807
162,299
162,17
162,747
162,1265
162,1244
162,172
162,16
162,523
1342,1345
1295,1798
1811,147
30,150
30,578
30,214
30,135
30,321
30,275
30,274
31,15
31,62
920,954
1461,601
1461,1379
1461,1076
32,826
32,1234
32,1271
32,507
32,1270
32,469
32,644
32,615
32,1272
33,266
33,826
33,1069
33,594
33,507
33,469
33,650
33,615
1180,62
1181,6
1182,671
38,1262
38,1448
39,135
39,103
1183,901
1184,5
1184,16
1664,1260
1664,552
1664,1437
1664,321
1664,1348
1664,274
1664,578
1664,214
1664,1211
1664,420
1664,1551
1664,806
1664,1107
1664,1381
1664,1221
1664,1262
1664,455
1664,1448
1664,275
1664,1429
1785,1398
1785,1882
1785,1036
1785,746
1785,939
1785,1962
1785,938
1185,136
1186,13
41,552
41,1381
41,1211
41,1262
41,420
41,1448
41,1437
41,1803
41,1551
42,1396
42,150
42,312
42,889
42,180
42,670
921,1072
921,1025
921,1923
921,1890
43,578
43,806
43,1107
43,1260
43,1395
43,1429
43,214
43,455
43,1221
43,275
43,321
43,1348
43,274
1104,1248
1104,1182
1066,785
1066,1511
1066,1132
1343,871
1343,176
1343,100
1343,522
1343,90
1343,805
1343,779
1343,101
1343,312
1343,253
1343,608
1343,803
1343,1333
1343,826
1343,741
1343,1124
1343,423
1343,666
1343,1346
1343,415
1297,1939
1298,1939
1299,1940
1301,1938
77,294
77,591
77,1042
77,295
77,1111
77,798
77,1074
77,797
52,539
52,1601
52,1605
52,1162
52,554
52,540
1813,1982
53,784
56,294
56,157
56,300
56,173
56,38
56,207
56,437
56,19
56,384
1018,1105
1018,739
57,294
57,591
57,538
57,295
57,1042
58,923
58,336
58,38
58,1043
58,335
58,916
58,322
59,1779
59,1778
59,1603
59,1878
59,880
59,281
1623,1663
1814,758
1303,1022
1303,1153
1037,1021
1037,1153
1037,870
62,942
63,114
63,79
63,511
63,45
977,79
977,114
977,1796
977,1808
977,1727
977,1718
977,45
977,511
977,1355
977,1750
977,288
977,1749
977,852
66,858
67,222
67,161
67,90
67,531
67,873
67,216
67,1670
67,210
67,228
67,1384
67,1613
67,381
1624,1666
1624,1755
1624,1806
903,1035
69,558
69,9
71,1021
71,1909
71,1935
71,870
1347,1616
1347,1296
1347,1880
1347,1906
1007,1443
72,132
72,780
74,319
74,1024
51,555
51,556
75,157
75,156
75,44
75,819
79,1081
146,500
115,1391
1471,1538
1039,1190
118,383
119,692
1668,870
1668,1021
1668,1666
1668,1041
121,81
121,212
121,344
861,828
160,786
932,57
932,1064
932,424
932,164
932,1406
932,55
932,1023
932,1168
932,286
932,346
124,703
125,749
1108,432
1108,327
1108,1028
131,565
131,1958
131,566
134,419
134,1039
134,1187
134,427
134,1197
134,348
134,291
134,401
134,565
134,398
134,702
134,1958
134,463
134,87
134,779
134,566
134,935
134,778
134,663
135,427
135,1187
135,348
135,702
135,291
135,398
135,935
135,1984
1098,1546
1098,692
1098,1356
1098,1139
1098,1021
1098,1105
1098,739
1098,1274
1098,1041
1098,870
933,563
1390,1105
1390,1369
145,761
1068,1159
1068,741
1068,101
1068,1067
980,866
980,1095
147,699
147,1259
147,796
147,1016
147,548
147,795
147,473
148,1267
148,1266
148,1268
978,1390
149,432
149,327
149,1028
151,80
151,758
151,71
152,406
153,1207
153,1360
1670,1711
156,1138
156,1905
156,1816
1747,38
1747,36
1747,341
130,379
130,269
130,462
130,1331
130,72
130,589
130,260
130,268
130,831
130,1781
130,1261
130,10
158,36
158,228
158,210
158,1186
158,334
158,90
159,424
159,164
159,1064
1789,1942
163,208
163,1245
164,434
164,181
165,13
165,828
165,1979
165,297
167,151
167,296
167,271
167,748
167,1264
167,1224
167,462
167,1729
167,298
167,537
171,474
171,349
81,1356
81,754
175,687
176,494
178,490
178,491
181,922
181,678
1112,1963
1041,1119
1041,296
1041,1
1041,764
1041,1254
1041,445
1041,1431
1111,253
183,1197
183,398
183,567
183,339
183,38
183,87
183,168
183,568
183,463
183,62
183,15
183,427
183,419
183,231
183,173
183,291
183,881
183,566
183,123
183,437
183,663
183,303
183,569
183,759
183,348
183,433
183,778
183,565
183,36
183,436
183,294
183,91
183,925
1749,150
1749,956
1195,1916
1195,1167
1195,1886
1195,1166
1422,503
1422,691
1422,1616
1422,150
1422,509
1422,1424
1422,1442
1422,1589
1422,746
1422,220
1422,1015
1422,449
1422,180
1422,1383
1422,939
1422,670
1422,1978
1422,938
1349,758
1349,1800
1349,71
1010,254
1010,1326
1010,611
1010,710
1307,810
1307,1217
1307,1233
1307,208
1307,479
1307,1223
1307,6
1307,224
1307,1215
1307,1245
1307,1210
1672,86
184,237
184,189
184,695
