zipcode,sources,pdb_org_id,state,city,region,url,longitude,prefixes,latitude,pch_id,ix_id,country,address,name,iata,alternatenames,geo_id,org_id,pdb_id
,"['pdb', 'he', 'pch']",27266,,,Europe,http://1-ix.net,,"{'ipv4': ['185.1.213.0/24'], 'ipv6': ['2001:7f8:115::/64', '2001:7f8:14d::/64']}",,2325,1384,,,1-IX Internet Exchange,,"['1-IX Internet Exchange Ukraine', '1-IX UA']",,27266,3562
,"['pdb', 'he', 'pch']",35751,,,Europe,https://1-ix.eu,,"{'ipv4': ['185.1.254.0/24'], 'ipv6': ['2001:7f8:115:1::/64']}",,2326,1584,,,1-IX Warsaw,,"['1-IX Internet Exchange Europe', '1-IX EU']",,35751,3958
,"['pdb', 'he']",19381,,Leipzig,Europe,https://bgp.wtf,,"{'ipv4': ['185.236.243.0/24'], 'ipv6': ['2a0d:eb02:4242:4242::/64']}",,,1009,DE,,36C3-YOLOIXP,,"['CCCAMP-IX', '36c3 YOLOIXP']",2879139,19381,2641
,"['pdb', 'he', 'pch']",26147,AZ,,North America,https://48ix.net,,"{'ipv4': ['149.112.3.0/24'], 'ipv6': ['2001:504:14::/64']}",,2276,1179,US,,48 IX,,[],,26147,3179
,"['pdb', 'he', 'pch']",19041,AG,,Europe,https://www.4ixp.com,,"{'ipv4': ['185.1.125.0/24'], 'ipv6': ['2a0c:3b80:415f::/48', '2001:7f8:d0::/64']}",,2079,918,CH,,4b42 Internet Exchange Point,ZRH3,[],,19041,2447
,"['pdb', 'he', 'pch']",13008,,,,,,"{'ipv4': ['203.254.32.0/24'], 'ipv6': []}",,144,0,,,6NGIX,,['KISA 6NGIX Center'],,13008,1183
,"['pdb', 'he']",17524,,Beirut,Europe,http://www.a-ix.org,35.48000,"{'ipv4': ['185.1.108.0/24'], 'ipv6': []}",33.82000,,1,LB,,A.IX,,['Advanced IX Lebanon'],276781,17524,1816
,"['pdb', 'he']",24523,,,Africa,https://acix.net,,"{'ipv4': ['196.60.92.0/24'], 'ipv6': ['2001:43ff:6000::/64']}",,,1705,,,ACIX,,['Africa Congo Internet eXchange'],,24523,4122
,"['pdb', 'he']",613,Australian Capital Territory,,Asia-Pacific,,,"{'ipv4': ['218.100.59.0/24'], 'ipv6': ['2001:de8:9::/64']}",,,2,AU,,ACTIX,,['ACT Internet Exchange'],2172517,613,288
,"['pdb', 'he']",34451,,Rijeka,Europe,https://adria-ix.org/,,"{'ipv4': [], 'ipv6': ['2a05:dfc7:8400::/64']}",,,1706,HR,,ADRIA-IX,,['Udruga means Association/Non-Profit in Croatian'],3191648,34451,4085
,"['pdb', 'he']",33490,Lagos,,Africa,https://www.af-cix.net/,,"{'ipv4': ['196.49.90.0/24', '196.60.104.0/24'], 'ipv6': ['2001:43f8:1690::/64']}",,,1585,NG,,AF-CIX,,[],,33490,4000
,"['pdb', 'he', 'pch']",5777,,Port au Prince,Latin America,http://transversal.ht/,-72.30000,"{'ipv4': ['200.0.18.0/24'], 'ipv6': ['2001:13c7:6003::/48']}",18.57000,982,3,HT,,AHTIC Internet Exchange Point,PAP,"['HIX Haiti', 'Haiti Internet Exchange', 'AIX']",3718426,5777,573
1213,"['pdb', 'he', 'pch']",12663,NA,Dhaka,Asia-Pacific,https://www.aamratechnologies.com/,,"{'ipv4': ['103.125.54.0/23'], 'ipv6': ['2001:df7:2300::/64', '2001:df7:2300:100::/64']}",,2194,1064,BD,"Safura Tower (12th Floor), 20, Kemal Ataturk Avenue,Banani, Dhaka-1213, Bangladesh",AIX-BD,,[],1185241,12663,2786
,['he'],,,Arusha,Africa,http://www.aixp.or.tz,36.62000,"{'ipv4': ['196.223.6.0/25'], 'ipv6': ['2001:43f8:0:100::/64']}",-3.33000,,1290,TZ,,AIXP,,[],161325,,
