region,org_id,alternatenames,pdb_org_id,state,ix_id,url,pch_id,geo_id,city,iata,prefixes,latitude,pdb_id,country,longitude,name,address,sources,zipcode
Europe,27266,"['1-IX Internet Exchange Ukraine', '1-IX UA']",27266,,1384,http://1-ix.net,2325,,,,"{'ipv4': ['185.1.213.0/24'], 'ipv6': ['2001:7f8:115::/64', '2001:7f8:14d::/64']}",,3562,,,1-IX Internet Exchange,,"['pdb', 'he', 'pch']",
Europe,35751,"['1-IX EU', '1-IX Internet Exchange Europe']",35751,,1584,https://1-ix.eu,2326,,,,"{'ipv4': ['185.1.254.0/24'], 'ipv6': ['2001:7f8:115:1::/64']}",,3958,,,1-IX Warsaw,,"['pdb', 'he', 'pch']",
Europe,19381,"['CCCAMP-IX', '36c3 YOLOIXP']",19381,,1009,https://bgp.wtf,,2879139,Leipzig,,"{'ipv4': ['185.236.243.0/24'], 'ipv6': ['2a0d:eb02:4242:4242::/64']}",,2641,DE,,36C3-YOLOIXP,,"['he', 'pdb']",
North America,26147,[],26147,AZ,1179,https://48ix.net,2276,,,,"{'ipv4': ['149.112.3.0/24'], 'ipv6': ['2001:504:14::/64']}",,3179,US,,48 IX,,"['pdb', 'he', 'pch']",
Europe,19041,[],19041,AG,918,https://www.4ixp.com,2079,,,ZRH3,"{'ipv4': ['185.1.125.0/24'], 'ipv6': ['2a0c:3b80:415f::/48', '2001:7f8:d0::/64']}",,2447,CH,,4b42 Internet Exchange Point,,"['pdb', 'he', 'pch']",
,13008,['KISA 6NGIX Center'],13008,,0,,144,,,,"{'ipv4': ['203.254.32.0/24'], 'ipv6': []}",,1183,,,6NGIX,,"['pdb', 'he', 'pch']",
Europe,17524,['Advanced IX Lebanon'],17524,,1,http://www.a-ix.org,,276781,Beirut,,"{'ipv4': ['185.1.108.0/24'], 'ipv6': []}",33.82000,1816,LB,35.48000,A.IX,,"['he', 'pdb']",
Africa,24523,['Africa Congo Internet eXchange'],24523,,1705,https://acix.net,,,,,"{'ipv4': ['196.60.92.0/24'], 'ipv6': ['2001:43ff:6000::/64']}",,4122,,,ACIX,,"['he', 'pdb']",
Asia-Pacific,613,['ACT Internet Exchange'],613,Australian Capital Territory,2,,,2172517,,,"{'ipv4': ['218.100.59.0/24'], 'ipv6': ['2001:de8:9::/64']}",,288,AU,,ACTIX,,"['he', 'pdb']",
Europe,34451,['Udruga means Association/Non-Profit in Croatian'],34451,,1706,https://adria-ix.org/,,3191648,Rijeka,,"{'ipv4': [], 'ipv6': ['2a05:dfc7:8400::/64']}",,4085,HR,,ADRIA-IX,,"['he', 'pdb']",
