population,geo_id,alternatenames,admin3_code,feature_code,dem,feature_class,admin4_code,latitude,cc2,admin1_code,longitude,elevation,asciiname,geoname_id,admin2_code,name,country_code
2867446,105343,"['chidda', 'cidda', 'ciddae', 'cidde', 'ciddä', 'ciddə', 'djedda', 'djeddah', 'djidda', 'dschidda', 'dzeda', 'dzedda', 'dzhida', 'dzhidda', 'dzhiddae', 'dzhiddat', 'dzhidde', 'dzida', 'dzidd', 'dzidda', 'dzsidda', 'dzudda', 'dżudda', 'džeda', 'džedda', 'džida', 'džidd', 'džidda', 'gedda', 'gidda', 'gido', 'gorad dzhyda', 'iedda', 'jed', 'jaddah', 'jedda', 'jeddah', 'jida', 'jidda', 'jiddah', 'jidde', 'jidá', 'judah', 'juddah', 'tzenta', 'yida', 'yidda', 'zhidda', 'gdh', 'jada', 'jdh', 'jdt', 'jeda', 'jedda', 'jeddaha', 'ji da', 'jida', 'jidda', 'jitta', 'yid dah', 'ĝido', 'ğidda', 'τζέντα', 'џеда', 'горад джыда', 'джида', 'джиддæ', 'джидда', 'джиддат', 'джидде', 'жидда', 'ջիդդա', 'גדה', 'جدة', 'جده', 'جدہ', 'ޖިއްދާ', 'जेद्दाह', 'জেদ্দা', 'ਜੱਦਾ', 'ஜித்தா', 'ജിദ്ദ', 'ญิดดะฮ์', 'ჯიდა', 'ジッダ', '吉达', '吉達', '제다', '지다']",,PPL,21,P,,21.54238,,14,39.19797,0,Jeddah,105343,,Jeddah,SA
4205961,108410,"['al-riad', 'al-riyad', 'ar riyadh', 'ar riyādh', 'ar-riaad', 'ar-rijad', 'ar-riyad', 'ar-riyod', 'ar-riyāḑ', 'ehr-rijad', 'er-rijad', 'er-riyad', 'gorad ehr-ryjad', 'ruh', 'riaad', 'riad', 'riade', 'riadi', 'riado', 'riadum', 'riant', 'rihad', 'rijad', 'rijada', 'rijadas', 'rijád', 'rijāda', 'riyad', 'riyadh', 'riyaḍ', 'ríad', 'alryad', 'er-riadi', 'li ya de', 'liyadeu', 'raiyadha', ""ri'ada"", ""ri'adha"", 'riyad', 'riyada', 'riyadh', 'riyadha', 'riyado', 'riyat', 'ryad', 'ryyad', 'ər-riyad', 'ριάντ', 'ар-рияд', 'горад эр-рыяд', 'ер-ріяд', 'рияд', 'ријад', 'эр-рияд', 'ալ-ռիադ', 'ריאד', 'الرياض', 'رىياد', 'رياض', 'ریاض', 'ڕیاز', 'रियाद', 'रियाध', 'রিয়াদ', 'ৰিয়াধ', 'ਰਿਆਧ', 'ରିଆଦ', 'ரியாத்', 'ರಿಯಾಧ್', 'റിയാദ്', 'ริยาด', 'རིས་ཡག', 'ერ-რიადი', 'ሪያድ', 'リヤド', '利雅得', '利雅德', '리야드']",,PPLC,612,P,,24.68773,,10,46.72185,0,Riyadh,108410,,Riyadh,SA
154000,146384,"['gorad limasol', 'lemesos', 'lemessus', 'lemesós', 'leymosun', 'limasol', 'limasol shaary', 'limasolis', 'limasolo', 'limassol', 'limisso', 'qli', 'li ma suo er', 'li ma sxl', 'limasol', 'limasoli', 'lymaswl', 'lymswl', 'rimasoru', 'λεμεσός', 'горад лімасол', 'лимасол', 'лимасол шаары', 'лімасол', 'լիմասոլ', 'לימסול', 'ليماسول', 'لیماسول', 'ലിമസ്സോൾ', 'ลีมาซอล', 'ლიმასოლი', 'リマソール', '利马索尔', '리마솔']",,PPLA,27,P,,34.68406,,05,33.03794,0,Limassol,146384,,Limassol,CY
2698652,160263,"['dar', 'dar es salaam', 'dar es salam', 'dar es salaam', 'dar es salam', 'dar es salamas', 'dar es salams', 'dar es salám', 'dar es-salaam', 'dar es-salam', 'dar əs salam', 'dar-ehs-salam', 'dar-ehs-salam shaary', 'dar-es-salaam', 'dar-es-salam', 'darasalam', 'daresalama', 'daresalamo', 'daressalaam', 'daressalam', 'daruesselam', 'darüsselam', 'dárasalám', 'dār es salām', 'dāresalāma', 'gorad dar-ehs-salam', 'ntar es salam', 'ntontoma', 'da lei si sa la mu', 'daleueseusallam', 'dar alslam', 'dar-es-salami', 'dar-xes-salam', 'dara asa salama', 'dara esa salama', 'daralslam', 'daruesusaramu', 'san lan gang', ""tarus'salam"", 'νταρ ες σαλάμ', 'ντοντόμα', 'горад дар-эс-салам', 'дар ес салам', 'дар ес-салаам', 'дар-ес-салам', 'дар-эс-салам', 'дар-эс-салам шаары', 'דאר א-סלאם', 'דאר עס סאלאאם', 'دار السلام', 'دارالسلام', 'دارېسسالام', 'दार अस सलाम', 'दार एस सलाम', 'ਦਾਰ ਅਸ ਸਲਾਮ', 'தாருஸ்ஸலாம்', 'ดาร์-เอส-ซาลาม', 'ཏ་རེ་སི་ས་ལམ།', 'ဒါအက်စ် ဆယ်လန်းမြို့', 'დარ-ეს-სალამი', 'ダルエスサラーム', '三蘭港', '达累斯萨拉姆', '다르에스살람']",0702132,PPLA,24,P,,-6.82349,,23,39.26951,0,Dar es Salaam,160263,0702,Dar es Salaam,TZ
2750547,184745,"['gorad najrobi', 'nbo', 'nairoba', 'nairobi', 'nairobia', 'nairobis', 'nairobo', 'nairoby', 'nairobî', 'nairompi', 'nairòbi', 'nairóbi', 'najrobi', 'najrobo', 'nayrobi', 'nayroobi', 'naíróbí', 'naýrobi', ""na'irobi"", 'nai luo bi', 'nailobi', 'nairobi', 'nairopi', 'nayreabi', 'nayrwby', 'nei luo bi', 'nirobi', 'nyrwby', 'nyyrwby', 'ναϊρόμπι', 'горад найробі', 'найроби', 'найробі', 'најроби', 'նայրոբի', 'נייראבי', 'ניירובי', 'نايروبى', 'نایروبی', 'نایرۆبی', 'نيروبي', 'نیروبی', 'नैरोबी', 'নাইরোবি', 'ਨੈਰੋਬੀ', 'நைரோபி', 'ನೈರೋಬಿ', 'നയ്റോബി', 'ไนโรบี', 'ནའི་རོ་བི།', 'နိုင်ရိုဘီမြို့', 'ნაირობი', 'ናይሮቢ', 'ナイロビ', '内罗毕', '奈洛比', '나이로비']",,PPLC,1684,P,,-1.28333,,05,36.81667,0,Nairobi,184745,,Nairobi,KE
799668,186301,"['gorad mambasa', 'mba', 'mombaaso', 'mombaca', 'mombasa', 'mombassa', 'mombaça', 'mombása', 'mompasa', 'mvita', 'meng ba sa', 'mmbasa', 'momabaka', 'mombasa', 'monbasa', 'mwmbasa', 'mwmbsh', 'μομπάσα', 'горад мамбаса', 'момбаса', 'מומבסה', 'ممباسا', 'مومباسا', 'मोम्बासा', 'মোমবাকা', 'მომბასა', 'モンバサ', '蒙巴萨', '몸바사']",,PPLA,20,P,,-4.05466,,37,39.66359,0,Mombasa,186301,,Mombasa,KE
745261,202061,"['gorad kigali', 'kgl', 'kigale', 'kigali', 'kigalis', 'kigalo', 'kigaly', 'kinkali', 'kiqali', 'kígalí', 'ji jia li', 'khikali', 'kigali', 'kigalli', 'kigari', 'kikali', 'kygaly', 'kyghaly', 'κιγκάλι', 'горад кігалі', 'кигали', 'кігалі', 'կիգալի', 'קיגאלי', 'كيغالي', 'کیگالی', 'किगाली', 'ਕਿਗਾਲੀ', 'கிகாலி', 'කිගාලි', 'คิกาลี', 'ཀི་ག་ལི།', 'კიგალი', 'ኪጋሊ', 'キガリ', '吉佳利', '키갈리']",1109,PPLC,1542,P,110903,-1.94995,,12,30.05885,0,Kigali,202061,11,Kigali,RW
623891,223817,"['byen djibouti', 'cibuti', 'dinas jibwti', 'diobuiti', 'diobúití', 'djiboeti', 'djibouti', 'djibouti chhi', 'djibouti chhī', 'djibuti', 'dschibuti', 'dzhibuti', 'dzibuti', 'dzibutis', 'dzjibuty', 'dzjibûty', 'dzsibuti', 'dżibuti', 'džibuti', 'džibutis', 'džíbútí', 'gibuti', 'gibuto', 'gibutum', 'gorad dzhybuci', 'ilu djibouti', 'jib', 'jabuuti', 'jiboti', 'jibouti', 'jibuti', 'lungsod ng djibouti', 'mbanza ya djibuti', 'sita jibouti', 'syudad han djibouti', 'tzimpouti', 'xibuti', 'xibutí', 'yibuti', 'zhibuti shaary', 'ci buti', 'ciputti', 'dzsybwty', 'gybwty', 'jbwty', 'jbwty ʿlaqہ', 'ji bu de shi', 'ji bu ti cheng', 'jibuchi shi', 'jibuti', 'jybwty', 'jybwwty', 'ìlú djibouti', 'ĝibuto', 'τζιμπουτί', 'џибути', 'горад джыбуці', 'джибути', 'джибуті', 'жибути шаары', 'ҷибути', 'ջիբութի', 'גיבוטי', 'דזשיבוטי', 'جبوتی', 'جبوتی علاقہ', 'جيبوتي', 'جیبوتی', 'جیبووتی', 'जिबूती', 'জিবুতি', 'ਜਿਬੂਤੀ', 'சீபூத்தீ', 'จิบูตี', 'ཇི་བའོ་ཊི།', 'ჯიბუტი', 'ジブチ市', '吉布地市', '吉布提城', '지부티']",,PPLC,6,P,,11.58901,,07,43.14503,0,Djibouti,223817,,Djibouti,DJ
1353189,232422,"['campala', 'gorad kampala', 'ikampala', 'kla', 'kaempaala', 'kambaala', 'kampal', 'kampala', 'kampalo', 'kanpala', 'kam pa la', 'kambala', 'kampala', 'kampalla', 'kan pa la', 'kanpara', 'kapala', 'kmpala', 'qmplh', 'καμπάλα', 'горад кампала', 'кампала', 'կամպալա', 'קאמפאלא', 'קמפלה', 'كامبالا', 'كامپالا', 'کامپالا', 'کمپالا', 'کمپالہ', 'कंपाला', 'कम्पाला', 'ਕੰਪਾਲਾ', 'କାମ୍ପାଲା', 'கம்பாலா', 'กัมปาลา', 'ཀམ་པ་ལ།', 'კამპალა', 'ካምፓላ', 'カンパラ', '坎帕拉', '캄팔라']",8644170,PPLC,1223,P,8658346,0.31628,,C,32.58219,0,Kampala,232422,37,Kampala,UG
95048,250774,"['aqj', 'akaba', 'akabe', ""al-'aqabah"", 'al-‘aqabah', 'aqaba', 'qal`at el `aqaba', '`aqaba', 'akaba', 'ya ke ba', 'акаба', 'עקבה', 'العقبة', 'عقبه', 'アカバ', '亞喀巴']",,PPLA,46,P,,29.52667,,21,35.00778,0,Aqaba,250774,,Aqaba,JO
