zoneName,gmtOffset,gmtOffsetName,abbreviation,tzName
Asia/Kabul,16200,UTC+04:30,AFT,Afghanistan Time
Europe/Mariehamn,7200,UTC+02:00,EET,Eastern European Time
Europe/Tirane,3600,UTC+01:00,CET,Central European Time
Africa/Algiers,3600,UTC+01:00,CET,Central European Time
Pacific/Pago_Pago,-39600,UTC-11:00,SST,Samoa Standard Time
Europe/Andorra,3600,UTC+01:00,CET,Central European Time
Africa/Luanda,3600,UTC+01:00,WAT,West Africa Time
America/Anguilla,-14400,UTC-04:00,AST,Atlantic Standard Time
Antarctica/Casey,39600,UTC+11:00,AWST,Australian Western Standard Time
America/Antigua,-14400,UTC-04:00,AST,Atlantic Standard Time
America/Argentina/Buenos_Aires,-10800,UTC-03:00,ART,Argentina Time
Asia/Yerevan,14400,UTC+04:00,AMT,Armenia Time
America/Aruba,-14400,UTC-04:00,AST,Atlantic Standard Time
Antarctica/Macquarie,39600,UTC+11:00,MIST,Macquarie Island Station Time
Europe/Vienna,3600,UTC+01:00,CET,Central European Time
Asia/Baku,14400,UTC+04:00,AZT,Azerbaijan Time
Asia/Bahrain,10800,UTC+03:00,AST,Arabia Standard Time
Asia/Dhaka,21600,UTC+06:00,BDT,Bangladesh Standard Time
America/Barbados,-14400,UTC-04:00,AST,Atlantic Standard Time
Europe/Minsk,10800,UTC+03:00,MSK,Moscow Time
Europe/Brussels,3600,UTC+01:00,CET,Central European Time
America/Belize,-21600,UTC-06:00,CST,Central Standard Time (North America)
Africa/Porto-Novo,3600,UTC+01:00,WAT,West Africa Time
Atlantic/Bermuda,-14400,UTC-04:00,AST,Atlantic Standard Time
Asia/Thimphu,21600,UTC+06:00,BTT,Bhutan Time
America/La_Paz,-14400,UTC-04:00,BOT,Bolivia Time
America/Anguilla,-14400,UTC-04:00,AST,Atlantic Standard Time
Europe/Sarajevo,3600,UTC+01:00,CET,Central European Time
Africa/Gaborone,7200,UTC+02:00,CAT,Central Africa Time
Europe/Oslo,3600,UTC+01:00,CET,Central European Time
America/Araguaina,-10800,UTC-03:00,BRT,Bras\u00edlia Time
Indian/Chagos,21600,UTC+06:00,IOT,Indian Ocean Time
Asia/Brunei,28800,UTC+08:00,BNT,Brunei Darussalam Time
Europe/Sofia,7200,UTC+02:00,EET,Eastern European Time
Africa/Ouagadougou,0,UTC\u00b100,GMT,Greenwich Mean Time
Africa/Bujumbura,7200,UTC+02:00,CAT,Central Africa Time
Asia/Phnom_Penh,25200,UTC+07:00,ICT,Indochina Time
Africa/Douala,3600,UTC+01:00,WAT,West Africa Time
