zipcode,pdb_org_id,country,org_id,url,address,name,state,city
94065-1562,2,US,2,http://www.equinix.com,1 Lagoon Dr,"Equinix, Inc.",CA,Redwood City
102-8460,7,JP,7,http://www.telehouse.com,"3-10-10 Iidabashi
Garden Air Tower",Telehouse - Global Data Centers,Tokyo,Chiyoda-ku
02142,14,US,14,https://www.akamai.com/,145 Broadway,"Akamai Technologies, Inc",MA,Cambridge
,17,,17,,,DALnet IRC Network,,
85257,18,US,18,http://www.edg.io,"1465 N Scottsdale Road
Suite 400",Edgio,AZ,Scottsdale
,23,,23,,,Cox Communications,,
08540-6603,24,US,24,http://www.astound.com,650 College Rd E,Astound Broadband,NJ,Princeton
98101-1323,29,US,29,https://www.seattleix.net/,1700 7th Ave Ste 116 PMB #400,Seattle Internet Exchange,WA,Seattle
1098 XG,31,NL,31,https://www.nikhef.nl/,"Science Park 105
1098 XG Amsterdam",Nikhef,Noord-Holland,Amsterdam
,32,US,32,http://nyiix.net,,NYIIX,,New York/Los Angeles/Philadelphia
80202,34,US,34,http://www.coresite.com,1001 17th Street,CoreSite,CO,Denver
,36,,36,,,AT&T US - AS7132,,
,38,,38,,,60 Fed LLC,,
,41,,41,,,JMA Wired,,
,46,NL,46,https://www.xs4all.nl/,,XS4ALL Internet B.V.,,Amsterdam
,49,,49,,,SVTIX San Jose,,
,50,,50,,,BBC,,
,55,,55,,,Renesys,,
,57,,57,,,Rackspace,,
,60,,60,,,Korea Telecom,,
M5J 2N1,61,CA,61,http://www.torix.ca/,151 Front St. W.,TorIX,ON,Toronto
10119,67,US,67,https://stealth.net,"1 Penn Plaza
Suite 6308",Stealth Communications,NY,New York
94089,69,,69,https://www.yahooinc.com/,701 First Ave,Yahoo!,CA,Sunnyvale
,70,,70,,,New Edge Networks,,
92360,72,FR,72,https://www.bouyguestelecom.fr/,"Technopôle, 13-15 Avenue du Maréchal Juin",Bouygues Telecom SA,,Meudon la foret
2132 LR,73,NL,73,http://www.interxion.com/,"Scorpius 30
2132 LR Hoofddorp",Interxion - A Digital Realty Company,Noord-Holland,Hoofddorp
,75,,75,,,Cambridge Bandwidth Consortium,,
SW1E 5BY,77,GB,77,http://www.globalswitch.com,"2nd Floor, Nova North
11 Bressenden Place",Global Switch,,London
,78,,78,,,Telecom Italia Sparkle S.p.A.,,
,80,,80,,,Fused Networks,,
,81,,81,,,SFINX,,
,86,,86,,,Cushman &  Wakefield,,
,87,,87,,,GrafiX Internet B.V.,,
,91,,91,,,YellowBrix,,
,92,,92,,,NYCX,,
,94,HK,94,https://www.hkix.net,"The Chinese University of Hong Kong (CUHK)
Shatin, NT",Hong Kong Internet eXchange Limited,,Hong Kong
,97,,97,http://www.telus.com,,TELUS Communications,,
53113,98,DE,98,https://www.itenos.de/en/,Bonner Talweg 100,ITENOS GmbH,North Rhine-Westphalia,Bonn
98040,100,US,100,http://www.semaphore.com,"9675 SE 36th St
Ste 110",Semaphore Corporation,WA,Mercer Island
1010,106,AT,106,http://zid.univie.ac.at,"Universitätsstraße 7
ZID/ACOnet & VIX",University of Vienna,Vienna,Vienna
06034,113,KR,113,https://www.kinx.net/?lang=en,"636, Gangnam-daero, Gangnam-gu
7F/10F, Doowon Building",KINX Inc.,,Seoul
N13 4BS,115,GB,115,https://www.lonap.net,483 Green Lanes,LONAP,,London
98121,116,US,116,http://www.westinbuilding.com/,"2001 6th Avenue
Suite 300",The Westin Building,WA,Seattle
,117,IE,117,http://www.btireland.com,"2 Grand Canal Plaza
Upper Grand Canal Street",BT Ireland,,Dublin 4
EC2A 3EH,118,GB,118,https://www.colt.net,"Colt House
20 Great Eastern Street",Colt Technology Services Group,,London
,120,,120,,,Plusnet plc,,
OX14 4SE,122,GB,122,http://www.rm.com/products/school-broadband,"142B
Milton Park",RM Education plc,Oxfordshire,Abingdon
50829,127,DE,127,http://www.netcologne.de,Am Coloneum 9,NetCologne,,Köln
OL11 1RY,128,GB,128,http://www.zen.co.uk,"Sandbrook Park,
Sandbrook Way.",Zen Internet,Greater Manchester,Rochdale
