name,pdb_org_id,zipcode,state,country,city,url,address,org_id
"Equinix, Inc.",2,94065-1562,CA,US,Redwood City,http://www.equinix.com,1 Lagoon Dr,2
Telehouse - Global Data Centers,7,102-8460,Tokyo,JP,Chiyoda-ku,http://www.telehouse.com,"3-10-10 Iidabashi
Garden Air Tower",7
"Akamai Technologies, Inc",14,02142,MA,US,Cambridge,https://www.akamai.com/,145 Broadway,14
DALnet IRC Network,17,,,,,,,17
Edgio,18,85257,AZ,US,Scottsdale,http://www.edg.io,"1465 N Scottsdale Road
Suite 400",18
Cox Communications,23,,,,,,,23
Astound Broadband,24,08540-6603,NJ,US,Princeton,http://www.astound.com,650 College Rd E,24
Seattle Internet Exchange,29,98101-1323,WA,US,Seattle,https://www.seattleix.net/,1700 7th Ave Ste 116 PMB #400,29
Nikhef,31,1098 XG,Noord-Holland,NL,Amsterdam,https://www.nikhef.nl/,"Science Park 105
1098 XG Amsterdam",31
NYIIX,32,,,US,New York/Los Angeles/Philadelphia,http://nyiix.net,,32
CoreSite,34,80202,CO,US,Denver,http://www.coresite.com,1001 17th Street,34
AT&T US - AS7132,36,,,,,,,36
60 Fed LLC,38,,,,,,,38
JMA Wired,41,,,,,,,41
XS4ALL Internet B.V.,46,,,NL,Amsterdam,https://www.xs4all.nl/,,46
SVTIX San Jose,49,,,,,,,49
BBC,50,,,,,,,50
Renesys,55,,,,,,,55
Rackspace,57,,,,,,,57
Korea Telecom,60,,,,,,,60
TorIX,61,M5J 2N1,ON,CA,Toronto,http://www.torix.ca/,151 Front St. W.,61
Stealth Communications,67,10119,NY,US,New York,https://stealth.net,"1 Penn Plaza
Suite 6308",67
Yahoo!,69,94089,CA,,Sunnyvale,https://www.yahooinc.com/,701 First Ave,69
New Edge Networks,70,,,,,,,70
Bouygues Telecom SA,72,92360,,FR,Meudon la foret,https://www.bouyguestelecom.fr/,"Technopôle, 13-15 Avenue du Maréchal Juin",72
Interxion - A Digital Realty Company,73,2132 LR,Noord-Holland,NL,Hoofddorp,http://www.interxion.com/,"Scorpius 30
2132 LR Hoofddorp",73
Cambridge Bandwidth Consortium,75,,,,,,,75
Global Switch,77,SW1E 5BY,,GB,London,http://www.globalswitch.com,"2nd Floor, Nova North
11 Bressenden Place",77
Telecom Italia Sparkle S.p.A.,78,,,,,,,78
Fused Networks,80,,,,,,,80
SFINX,81,,,,,,,81
Cushman &  Wakefield,86,,,,,,,86
GrafiX Internet B.V.,87,,,,,,,87
YellowBrix,91,,,,,,,91
NYCX,92,,,,,,,92
Hong Kong Internet eXchange Limited,94,,,HK,Hong Kong,https://www.hkix.net,"The Chinese University of Hong Kong (CUHK)
Shatin, NT",94
TELUS Communications,97,,,,,http://www.telus.com,,97
ITENOS GmbH,98,53113,North Rhine-Westphalia,DE,Bonn,https://www.itenos.de/en/,Bonner Talweg 100,98
Semaphore Corporation,100,98040,WA,US,Mercer Island,http://www.semaphore.com,"9675 SE 36th St
Ste 110",100
University of Vienna,106,1010,Vienna,AT,Vienna,http://zid.univie.ac.at,"Universitätsstraße 7
ZID/ACOnet & VIX",106
KINX Inc.,113,06034,,KR,Seoul,https://www.kinx.net/?lang=en,"636, Gangnam-daero, Gangnam-gu
7F/10F, Doowon Building",113
LONAP,115,N13 4BS,,GB,London,https://www.lonap.net,483 Green Lanes,115
The Westin Building,116,98121,WA,US,Seattle,http://www.westinbuilding.com/,"2001 6th Avenue
Suite 300",116
BT Ireland,117,,,IE,Dublin 4,http://www.btireland.com,"2 Grand Canal Plaza
Upper Grand Canal Street",117
Colt Technology Services Group,118,EC2A 3EH,,GB,London,https://www.colt.net,"Colt House
20 Great Eastern Street",118
Plusnet plc,120,,,,,,,120
RM Education plc,122,OX14 4SE,Oxfordshire,GB,Abingdon,http://www.rm.com/products/school-broadband,"142B
Milton Park",122
NetCologne,127,50829,,DE,Köln,http://www.netcologne.de,Am Coloneum 9,127
Zen Internet,128,OL11 1RY,Greater Manchester,GB,Rochdale,http://www.zen.co.uk,"Sandbrook Park,
Sandbrook Way.",128
SwissIX Internet Exchange,131,8048,Zürich,CH,Zürich,https://www.swissix.ch/,"Badenerstrasse 569
8048 Zürich",131
Sony Computer Entertainment Europe,132,,,,,,,132
KDWEB,133,,,,,,,133
Asociación ESpanix,136,28231,Madrid,ES,Las Rozas,http://www.espanix.net,Avda. Comunidad de Madrid 37 bis  1ºF,136
NL-ix,138,2595,South Holland,NL,The Hague,https://www.nl-ix.net,400 Pr. Beatrixlaan,138
Hotlinks Internet Services,139,,,,,,,139
Digital Space Group Ltd,142,NG24 2AG,Nottinghamshire,GB,Newark,https://www.digitalspace.co.uk/,"Digital Space Group Ltd
Brunel Business Park, Jessop Close",142
RCS & RDS,144,,,,,,,144
VIA NET.WORKS,146,,,,,,,146
cablecom GmbH,150,,,,,,,150
LAN Services AG,154,,,,,,,154
NIX.CZ,155,12000,Czech Republic,CZ,Prague,https://www.nix.cz,Milesovska 5,155
Claranet,156,WC1V 6JS,,GB,London,http://www.claranet.com,"110 High Holborn
Holborn",156
Your Communications/THUS,158,,,,,,,158
British Telecommunications PLC,161,,,GB,,,,161
Free SAS,164,,,,,https://www.free.fr,,164
GN-IX,165,,,,,,,165
Sunrise GmbH,166,,,CH,,http://www.sunrise.ch,,166
Star Technology Services Ltd,167,,,,,,,167
LIX,169,,,,,,,169
RETN,170,,,,,http://www.retn.net,,170
BIT BV,171,6716 BP,,NL,Ede,https://www.bit.nl,Galileïlaan 19,171
ColoCenter FrankfurtRheinMain GmbH,174,,,,,,,174
TAS France,178,,,,,,,178
Netcetera,180,IM9 2AP,IOM,IM,Ballasalla,https://www.netcetera.co.uk,The Dataport,180
Slovak University of Technology in Bratislava,187,81243,,SK,Bratislava,http://www.stuba.sk,Nám. Slobody 17,187
TDS Telecom,189,53717,WI,US,Madison,https://www.tdstelecom.com,525 Junction Road,189
NDIX,190,,,,,,,190
Kewlio.net Limited,192,,,,,,,192
Burstfire Networks Ltd,194,EC2Y 9DT,,GB,London,https://www.burstfire.net,1 Fore Street,194
MadIX,199,,,,,,,199
Industrielle Werke Basel Telecom,200,,,,,,,200
ProServe B.V.,203,,,,,,,203
BSE Software GmbH,207,4500,SO,CH,Solothurn,https://www.solnet.ch,Glutz Blotzheim-Strasse 1,207
SOX,208,,,,,,,208
Belgacom International Carrier Services SA,209,1030,Bruxelles,BE,Schaerbeek,http://www.bics.com,"Boulevard Roi Albert II 27
1030 Schaerbeek",209
Pro-Net Internet Services Ltd,210,,,,,,,210
BELNET,214,1000,,BE,Brussels,https://www.belnet.be,"WTC III
Boulevard Simon Bolivar 30 B 2",214
Paetec Communications,216,,,,,,,216
CityFibre Limited,219,,,,,,,219
"Bebo, Inc.",221,,,,,,,221
KDDI,222,102-8460,Tokyo,JP,Chiyoda-ku,http://www.kddi.com/english/,"Garden Air Tower
3-10-10, Iidabashi",222
FICIX Ry,223,00181,FI,FI,Helsinki,https://www.ficix.fi,"FICIX ry
PL 146",223
LINKLINE Communications,224,,,,,,,224
DSNet Limited,227,,,,,,,227
